,sugar index,bake temp,chill time,calories,grams baking soda,bake time,quality,weight,cubed,melted
1197,8.9,530,36.0,148.0,0.5,9.3,7,13.8,0,1
1198,7.7,460,51.0,174.0,0.52,9.5,7,14.4,0,1
1199,2.3,760,29.0,40.0,0.75,11.0,6,12.6,1,0
1200,1.6,400,19.0,86.0,0.65,11.5,8,12.8,0,1
1201,7.7,540,56.0,209.0,0.45,8.8,7,13.2,0,1
1202,11.9,430,64.0,226.0,0.63,9.3,7,13.6,0,1
1203,1.4,370,45.0,143.0,0.33,9.9,8,14.2,0,1
1204,1.4,560,14.0,171.0,0.47,9.7,7,17.8,0,1
1205,2.1,560,5.0,13.0,0.56,11.4,5,12.2,1,0
1206,15.55,580,50.0,134.0,0.36,9.1,9,14.6,0,1
1207,3.2,470,16.0,93.0,0.53,10.1,9,10.4,0,1
1208,8.1,400,67.0,216.0,0.5,9.2,7,12.6,0,1
1210,4.7,290,21.0,94.0,0.62,12.3,8,12.2,0,1
1211,6.6,1230,35.0,116.0,0.48,9.4,7,13.6,0,1
1212,2.6,810,45.0,87.0,0.53,10.0,5,16.6,1,0
1213,12.7,470,60.5,164.5,0.45,9.1,8,14.6,0,1
1215,2.3,780,35.0,152.0,0.48,9.4,5,19.6,1,0
1216,1.6,520,23.0,72.0,0.5,11.5,9,12.0,0,1
1217,7.05,450,50.0,177.0,0.42,9.0,7,12.6,0,1
1218,7.1,450,62.0,209.0,0.53,9.5,8,12.6,0,1
1219,3.5,280,35.0,91.0,0.33,12.1,7,14.2,0,1
1220,2.0,430,39.0,154.0,0.39,10.2,8,11.6,0,1
1221,8.9,460,82.0,188.0,0.44,10.3,8,13.6,0,1
1222,2.3,710,21.0,68.0,0.63,9.5,5,19.0,1,0
1223,13.1,500,64.0,205.0,0.5,9.5,7,13.4,0,1
1224,2.0,820,6.0,15.0,0.66,9.2,6,22.6,1,0
1225,1.9,980,6.0,15.0,0.64,11.4,6,16.0,1,0
1226,15.5,640,56.0,115.5,0.41,9.7,9,14.2,0,1
1227,8.5,520,55.0,211.0,0.55,8.9,8,13.2,0,1
1228,1.7,480,26.0,124.0,0.6,10.1,8,13.2,0,1
1229,3.9,340,42.0,137.0,0.46,10.9,8,12.2,0,1
1230,1.5,400,19.0,114.0,0.62,10.5,8,13.2,0,1
1232,1.4,1570,34.0,132.0,0.53,9.0,8,14.4,0,1
1233,2.5,450,32.0,122.0,0.54,10.3,7,14.6,0,1
1234,17.3,550,47.0,169.0,0.67,9.3,8,17.0,0,1
1235,2.2,940,16.0,29.0,0.49,10.2,6,16.0,1,0
1236,2.6,840,12.0,78.0,0.71,11.0,5,14.4,1,0
1237,1.0,1270,63.0,178.0,0.45,9.7,7,11.6,0,1
1238,4.9,360,30.0,134.0,0.42,10.4,9,12.4,0,1
1239,1.4,400,56.0,145.0,0.46,10.0,7,13.6,0,1
1240,1.4,560,24.0,130.0,0.48,9.5,7,15.6,0,1
1241,1.2,420,43.0,160.0,0.48,9.7,8,16.2,0,1
1242,10.2,280,28.0,131.0,0.42,10.8,9,11.2,0,1
1243,10.0,560,35.0,178.0,0.6,10.2,7,15.4,0,1
1245,2.0,600,19.0,50.0,0.74,14.0,8,10.0,1,0
1246,1.3,420,20.0,69.0,0.65,12.0,9,14.0,0,1
1247,1.8,660,26.0,51.0,0.72,11.8,6,17.0,1,0
1248,5.8,410,22.0,145.0,0.63,9.9,7,12.6,0,1
1249,1.4,300,12.0,76.0,0.37,10.9,9,11.2,0,1
1250,6.9,340,26.0,91.0,0.34,11.5,7,18.0,0,1
1251,3.7,590,29.0,151.0,0.41,12.1,9,13.0,0,1
1252,1.6,380,34.0,116.0,0.39,12.0,9,14.8,0,1
1253,1.6,490,24.0,64.0,0.57,11.7,6,14.6,1,0
1254,2.8,380,41.0,114.0,0.66,11.7,9,12.8,0,1
1255,14.0,320,47.0,133.0,0.5,12.2,9,13.6,0,1
1256,2.2,230,21.0,95.0,0.54,12.3,8,11.4,0,1
1257,12.3,510,35.0,146.0,0.67,9.4,7,13.2,0,1
1258,2.9,340,38.0,121.0,0.4,12.8,8,13.2,0,1
1259,1.9,300,41.0,104.0,0.62,12.6,9,13.4,0,1
1260,2.0,290,27.0,87.0,0.59,12.6,9,14.4,0,1
1261,1.4,450,11.0,119.0,0.47,9.4,6,17.2,0,1
1262,7.8,420,11.0,117.0,0.37,9.2,7,13.8,0,1
1263,1.6,350,34.0,126.0,0.47,12.3,8,14.0,0,1
1264,8.1,370,53.0,166.0,0.41,8.9,8,15.0,0,1
1265,1.7,660,3.0,20.0,0.58,9.4,5,12.6,1,0
1266,1.2,260,31.0,68.0,0.44,11.63333333,8,11.0,0,1
1267,0.9,340,40.0,114.0,0.58,10.8,9,12.8,0,1
1268,11.0,350,46.0,116.0,0.38,9.1,8,12.4,0,1
1269,2.2,830,5.0,15.0,0.43,9.2,5,23.4,1,0
1270,1.6,630,16.0,37.0,0.78,10.0,6,21.6,1,0
1272,3.5,440,29.0,117.0,0.51,10.1,8,17.0,0,1
1273,1.5,370,12.0,76.0,0.46,12.3,8,12.6,0,1
1274,2.1,800,33.0,141.0,0.51,9.9,5,15.8,1,0
1275,12.9,450,55.0,161.0,0.59,10.2,7,12.8,0,1
1276,1.9,820,17.0,144.0,0.55,9.5,5,15.8,1,0
1277,1.6,880,16.0,23.0,0.47,9.4,5,17.6,1,0
1278,1.9,900,44.0,130.0,0.41,9.7,7,12.2,0,1
1279,3.0,360,17.0,117.0,0.68,10.1,8,14.4,0,1
1280,1.9,800,14.0,35.0,0.55,9.4,5,14.2,1,0
1281,1.2,370,14.0,119.0,0.5,10.2,8,11.6,0,1
1282,1.1,350,44.0,140.0,0.55,10.7,9,12.8,0,1
1284,1.3,340,28.0,123.0,0.55,11.4,8,14.2,0,1
1285,12.15,330,37.0,116.0,0.39,10.8,8,16.8,0,1
1286,1.4,470,30.0,90.0,0.54,11.2,8,13.6,0,1
1287,17.95,570,45.0,149.0,0.36,8.6,7,14.6,0,1
1288,7.9,1220,68.0,124.0,0.53,9.9,5,13.2,1,0
1289,2.9,260,48.0,126.0,0.38,11.3,9,13.2,0,1
1290,1.3,400,28.0,85.0,0.48,11.2,8,13.2,0,1
1291,2.2,440,15.0,68.0,0.39,9.4,8,13.6,0,1
1292,6.5,370,26.0,97.0,0.58,12.6,9,14.6,0,1
1293,2.7,170,22.0,80.0,0.37,11.5,7,13.4,0,1
1294,2.9,390,10.0,108.0,0.5,10.0,7,11.0,0,1
1295,8.3,340,29.0,81.0,0.39,12.5,8,13.4,0,1
1296,2.2,880,16.0,32.0,0.67,10.2,5,14.8,1,0
1297,1.7,410,31.0,110.0,0.53,11.0,8,14.0,0,1
1298,12.1,460,51.0,172.0,0.45,9.5,7,12.2,0,1
1299,1.8,500,40.0,147.0,0.44,11.4,9,13.2,0,1
1300,5.5,490,41.0,176.0,0.68,9.2,8,12.8,0,1
1301,2.8,890,11.0,43.0,0.61,10.5,6,16.4,1,0
1302,14.6,630,32.0,201.0,0.45,9.2,7,15.2,0,1
1303,14.7,510,29.0,149.0,0.39,9.0,9,14.0,0,1
1304,9.7,360,15.0,85.0,0.36,11.2,8,16.0,0,1
1305,5.2,550,41.0,167.0,0.4,10.6,9,16.0,0,1
1306,2.0,290,14.0,141.0,0.77,12.2,8,16.6,0,1
1307,1.5,400,35.0,105.0,0.3,12.4,8,12.8,0,1
1308,7.2,390,38.0,172.0,0.64,9.7,8,12.6,0,1
1309,0.7,280,11.0,66.0,0.4,9.8,7,10.6,0,1
1310,14.2,580,49.0,192.0,0.48,9.0,9,14.4,0,1
1311,2.4,670,10.0,42.0,0.59,9.5,5,17.6,1,0
1312,2.6,340,62.0,148.0,0.56,11.3,9,14.2,0,1
1313,7.6,520,35.0,143.0,0.38,9.0,7,13.6,0,1
1314,6.2,480,31.0,228.0,0.62,9.4,8,14.0,0,1
1315,12.6,320,54.0,136.0,0.43,10.6,8,12.2,0,1
1316,3.8,360,34.0,88.0,0.63,12.5,9,13.0,0,1
1317,1.4,460,16.0,135.0,0.77,10.4,9,14.8,0,1
1318,13.7,450,44.0,192.0,0.53,9.4,7,14.2,0,1
1319,1.0,280,6.0,24.0,0.32,9.9,7,17.8,0,1
1320,6.9,500,30.0,97.0,0.44,10.1,8,16.2,0,1
1321,2.0,760,12.0,20.0,0.54,10.1,5,14.4,1,0
1322,1.9,810,14.0,38.0,0.65,9.0,6,15.6,1,0
1323,4.3,690,20.0,114.0,0.59,13.4,8,13.4,0,1
1324,5.15,350,64.0,138.0,0.34,12.4,10,10.4,0,1
1325,16.2,740,41.0,197.0,0.5,9.8,5,17.0,0,1
1326,14.2,380,53.0,141.0,0.46,9.2,8,15.8,0,1
1327,1.6,350,40.0,106.0,0.39,12.9,9,12.4,0,1
1328,1.8,1140,15.0,64.0,0.59,9.5,6,14.0,1,0
1330,12.05,580,25.0,125.0,0.45,9.4,7,13.2,0,1
1331,12.0,420,61.0,210.0,0.59,9.7,8,12.2,0,1
1332,1.8,670,4.0,11.0,0.68,9.5,5,12.8,1,0
1334,13.0,510,72.0,177.0,0.49,9.8,7,14.0,0,1
1335,3.9,460,17.0,106.0,0.31,11.5,7,13.0,0,1
1336,11.4,390,46.0,165.0,0.44,9.8,9,13.2,0,1
1337,1.8,320,23.0,118.0,0.5,11.8,8,12.8,0,1
1338,1.6,280,32.0,118.0,0.38,12.1,9,15.6,0,1
1339,12.5,490,52.5,106.0,0.45,9.4,8,11.4,0,1
1340,4.6,320,68.0,137.0,0.38,11.3,8,11.8,0,1
1341,4.5,420,26.0,102.0,0.47,9.5,7,15.2,0,1
1342,1.0,240,13.0,91.0,0.37,10.1,7,17.0,0,1
1343,1.8,780,7.0,12.0,0.39,9.5,5,14.4,1,0
1345,2.1,770,12.0,65.0,0.51,9.2,5,16.2,1,0
1346,10.6,350,28.0,124.0,0.46,10.4,11,18.2,0,1
1347,1.9,580,18.0,38.0,0.85,11.1,6,17.0,1,0
1348,6.3,470,52.0,172.0,0.53,9.5,8,14.4,0,1
1349,1.4,390,21.0,177.0,0.62,10.8,7,14.0,0,1
1350,8.2,280,29.0,142.0,0.34,13.0,9,16.2,0,1
1351,1.4,660,15.0,28.0,0.7,10.0,7,12.8,1,0
1352,13.6,420,58.0,166.0,0.54,9.4,7,16.4,0,1
1353,6.3,300,34.0,129.0,0.41,10.4,7,12.0,0,1
1354,1.2,280,28.0,89.0,0.61,11.8,8,14.8,0,1
1355,6.9,520,23.0,118.0,0.46,10.4,8,12.6,0,1
1356,3.0,270,16.0,102.0,0.56,11.2,8,11.0,0,1
1357,1.8,460,23.0,130.0,0.67,9.6,7,19.6,0,1
1358,1.9,740,27.0,85.0,0.58,9.0,5,15.2,1,0
1359,2.2,470,33.0,96.0,0.39,10.4,10,14.0,0,1
1360,5.55,510,51.0,139.0,0.5,11.0,8,11.2,0,1
1361,2.6,840,21.0,75.0,0.57,9.7,5,18.0,1,0
1362,2.2,260,40.0,104.0,0.4,11.1,10,13.2,0,1
1363,3.5,530,41.0,174.0,0.41,11.6,7,16.4,0,1
1364,2.3,900,23.0,74.0,0.62,12.2,6,10.4,1,0
1365,2.8,400,24.0,125.0,0.46,9.0,7,12.4,0,1
1366,5.1,1110,50.0,110.0,0.77,9.4,5,15.0,1,0
1367,4.8,500,34.0,150.0,0.5,10.0,8,16.0,0,1
1368,1.0,370,66.0,144.0,0.52,10.2,8,14.6,0,1
1369,6.7,390,22.0,64.0,0.49,10.7,7,15.8,0,1
1370,3.1,540,54.0,174.0,0.43,9.4,8,17.0,0,1
1371,3.0,930,16.0,112.0,0.61,9.5,5,17.8,1,0
1372,5.9,480,14.0,125.0,0.49,9.8,7,14.4,0,1
1373,1.9,470,27.0,151.0,0.53,10.1,8,15.2,0,1
1374,1.9,740,32.0,84.0,0.61,9.0,5,16.0,1,0
1375,2.0,800,11.0,27.0,0.8,9.4,6,16.6,1,0
1376,14.5,450,39.0,193.0,0.5,9.2,8,14.8,0,1
1377,1.5,1610,7.0,62.0,0.61,11.0,5,10.6,1,0
1378,17.75,600,51.0,190.0,0.48,8.8,8,12.6,0,1
1379,6.2,660,41.0,176.0,0.54,9.4,7,13.8,0,1
1380,3.2,660,6.0,22.0,0.66,11.2,6,22.2,1,0
1382,3.8,1320,3.0,11.0,0.57,13.2,6,18.6,1,0
1383,1.7,380,29.0,129.0,0.56,10.4,8,15.0,0,1
1384,2.8,1050,29.0,53.0,0.67,9.9,5,20.8,1,0
1385,2.0,590,10.0,112.0,0.46,10.1,7,18.2,0,1
1386,6.4,430,34.0,142.0,0.48,9.8,7,11.2,0,1
1387,6.4,560,44.0,168.0,0.35,10.1,8,14.6,0,1
1388,8.2,430,54.0,201.0,0.48,9.5,7,12.8,0,1
1389,7.8,550,53.0,177.0,0.45,9.6,7,12.8,0,1
1390,8.7,480,39.0,197.0,0.59,9.6,8,16.8,0,1
1391,1.2,390,16.0,98.0,0.39,11.7,8,13.8,0,1
1392,2.2,790,19.0,0.0,0.64,9.2,5,17.6,1,0
1393,1.9,750,16.0,51.0,0.52,9.5,5,14.2,1,0
1394,1.1,340,49.0,158.0,0.32,13.1,9,10.0,0,1
1395,4.1,300,22.0,86.0,0.38,11.7,9,11.4,0,1
1396,5.4,420,67.0,181.0,0.35,10.2,8,12.8,0,1
1397,5.7,440,31.0,124.0,0.51,10.2,8,16.0,0,1
1398,9.2,480,22.0,221.0,0.61,9.2,8,15.4,0,1
1399,14.75,420,44.5,129.5,0.41,9.1,9,14.6,0,1
1400,11.4,290,25.0,93.0,0.49,10.5,8,11.2,0,1
1401,12.1,450,38.0,127.0,0.53,8.9,8,13.4,0,1
1402,2.55,850,10.0,25.0,0.61,11.8,5,22.0,1,0
1403,2.8,390,50.0,118.0,0.59,11.2,8,14.2,0,1
1404,1.6,440,17.0,101.0,0.53,10.0,7,14.4,0,1
1405,2.0,230,19.0,86.0,0.45,12.5,8,13.2,0,1
1406,1.6,530,15.0,144.0,0.47,10.5,7,15.8,0,1
1407,2.5,680,11.0,35.0,0.61,11.6,6,15.6,1,0
1408,5.1,440,19.0,65.0,0.41,12.6,6,14.4,0,1
1409,2.9,1220,10.0,41.0,0.66,12.5,6,20.4,1,0
1410,2.2,420,54.0,201.0,0.5,11.4,7,14.2,0,1
1411,3.6,340,9.0,45.0,0.4,10.5,8,13.4,0,1
1412,4.8,180,23.0,127.0,0.49,11.2,9,17.4,0,1
1413,5.0,420,17.0,133.0,0.53,9.4,7,12.2,0,1
1414,1.1,440,38.0,100.0,0.69,11.2,8,13.2,0,1
1415,13.2,510,54.0,201.0,0.46,9.0,7,12.4,0,1
1416,1.6,690,4.0,8.0,0.37,10.4,4,13.2,1,0
1417,8.7,360,47.0,127.0,0.39,10.6,7,12.0,0,1
1418,1.4,490,50.0,187.0,0.45,9.5,7,12.2,0,1
1419,1.3,320,35.0,148.0,0.57,10.7,9,13.8,0,1
1420,12.8,530,48.5,212.0,0.49,9.1,9,14.8,0,1
1421,1.9,360,41.0,98.0,0.43,11.9,9,13.0,0,1
1422,1.5,800,6.0,13.0,0.62,10.1,4,11.2,1,0
1423,2.4,900,8.0,19.0,0.73,9.3,5,15.4,1,0
1424,6.55,260,33.0,143.0,0.35,11.1,7,15.0,0,1
1425,1.2,490,26.0,152.0,0.47,10.0,8,13.4,0,1
1426,12.3,510,35.0,146.0,0.67,9.4,7,13.2,0,1
1427,4.6,1180,10.0,17.0,0.56,11.7,6,21.8,1,0
1428,1.4,550,27.0,33.0,0.48,12.3,6,12.6,1,0
1429,1.6,350,31.0,128.0,0.5,12.3,8,16.4,0,1
1430,1.7,260,29.0,140.0,0.78,12.5,8,15.6,0,1
1431,9.1,490,31.0,150.0,0.74,9.9,9,13.4,0,1
1433,2.4,460,27.0,132.0,0.73,11.3,7,11.8,0,1
1434,1.2,530,61.0,183.0,0.43,9.2,7,14.2,0,1
1435,7.0,430,29.0,149.0,0.33,10.0,7,15.6,0,1
1437,1.7,310,44.0,109.0,0.46,12.5,8,15.0,0,1
1438,1.8,820,43.0,60.0,0.42,9.2,5,15.0,1,0
1439,1.8,620,21.0,28.0,0.55,12.3,6,13.2,1,0
1440,11.9,460,54.0,168.0,0.68,10.1,7,12.8,0,1
1442,1.1,770,48.0,166.0,0.54,8.7,6,10.6,0,1
1443,4.2,320,15.0,91.0,0.52,13.1,8,12.8,0,1
1445,5.85,330,27.0,93.0,0.54,12.6,9,15.8,0,1
1446,2.4,800,16.0,33.0,0.69,10.8,7,14.8,1,0
1447,1.6,280,13.0,59.0,0.84,11.9,10,10.4,0,1
1448,1.7,360,17.0,98.0,0.39,10.5,8,11.0,0,1
1449,2.1,780,1.0,28.0,0.87,10.3,6,18.2,1,0
1450,0.9,380,15.0,72.0,0.39,11.0,7,13.2,0,1
1451,4.8,520,27.0,128.0,0.48,9.4,7,12.4,0,1
1452,2.1,830,17.0,38.0,0.66,11.1,6,19.2,1,0
1453,0.9,400,52.0,103.0,0.39,11.2,7,11.0,0,1
1454,14.3,580,55.0,194.0,0.44,9.0,8,14.4,0,1
1455,1.5,350,42.0,120.0,0.4,10.6,9,16.0,0,1
1456,2.7,320,49.0,151.0,0.39,12.7,9,14.4,0,1
1457,2.9,720,26.0,52.0,0.6,11.5,6,12.6,1,0
1458,6.7,410,61.0,230.0,0.4,8.9,7,12.2,0,1
1459,1.8,890,10.0,52.0,0.77,9.5,5,16.6,1,0
1460,9.4,460,47.0,188.0,0.48,10.0,7,16.0,0,1
1461,2.2,720,31.0,92.0,0.68,11.1,6,14.6,1,0
1462,1.0,530,39.0,148.0,0.45,9.4,8,13.8,0,1
1463,8.0,530,52.0,196.0,0.48,9.1,8,13.0,0,1
1464,1.2,470,33.0,127.0,0.5,11.0,9,11.2,0,1
1465,14.8,390,62.0,204.0,0.6,9.5,7,15.0,0,1
1466,9.7,420,36.0,130.0,0.75,9.9,8,14.6,0,1
1468,2.3,390,43.0,125.0,0.67,10.1,9,13.4,0,1
1469,13.0,470,69.0,160.0,0.5,9.6,8,13.6,0,1
1470,14.55,470,47.0,156.0,0.78,9.1,8,14.2,0,1
1471,1.1,360,23.0,56.0,0.38,11.3,7,11.8,0,1
1472,1.7,340,41.0,193.0,0.59,10.4,8,13.0,0,1
1473,7.7,450,16.0,169.0,0.37,8.7,8,13.0,0,1
1474,9.0,230,20.0,109.0,0.35,12.6,8,13.4,0,1
1475,2.2,790,3.0,6.0,0.67,11.9,6,17.2,1,0
1476,17.2,370,57.0,170.0,0.57,9.4,8,12.6,0,1
1477,1.7,300,23.0,128.0,0.66,10.9,7,14.8,0,1
1478,5.2,500,30.0,137.0,0.58,11.1,7,12.8,0,1
1479,2.1,620,31.0,54.0,0.65,10.0,7,14.6,1,0
1481,8.2,460,52.0,183.0,0.51,9.4,7,13.6,0,1
1482,3.5,280,29.0,113.0,0.71,12.3,9,12.0,0,1
1484,1.5,710,19.0,117.0,0.53,9.8,7,14.8,0,1
1485,6.3,340,45.0,152.0,0.46,11.6,9,12.6,0,1
1486,1.6,470,34.0,132.0,0.48,11.4,7,13.8,0,1
1487,3.3,480,41.0,161.0,0.5,10.5,8,12.6,0,1
1488,6.7,360,45.0,138.0,0.68,11.4,8,15.0,0,1
1489,1.5,570,5.0,10.0,0.6,9.5,5,13.6,1,0
1490,7.1,560,50.0,110.0,0.52,9.9,8,15.0,0,1
1491,5.3,380,8.0,79.0,0.39,10.5,8,11.2,0,1
1492,10.8,480,55.0,149.0,0.59,11.0,9,12.0,0,1
1493,16.05,450,31.0,147.0,0.52,9.2,7,13.2,0,1
1494,2.3,830,14.0,23.0,0.61,11.3,6,18.4,1,0
1495,13.9,570,45.0,155.0,0.41,8.8,10,14.6,0,1
1496,1.4,310,27.0,107.0,0.39,11.9,8,14.0,0,1
1497,7.25,280,14.0,78.0,0.37,11.5,9,14.8,0,1
1498,1.3,460,9.0,62.0,0.47,10.1,6,14.0,0,1
1499,2.0,760,15.0,36.0,0.64,9.8,5,13.4,1,0
1501,1.7,970,19.0,27.0,0.49,9.4,5,15.4,1,0
1502,2.2,270,36.0,134.0,0.36,12.5,9,13.0,0,1
1504,11.0,470,37.0,133.0,0.38,8.8,7,15.0,0,1
1505,1.2,460,34.0,175.0,0.54,9.4,8,12.6,0,1
1506,6.5,420,32.0,160.0,0.47,10.7,7,15.2,0,1
1507,2.0,860,12.0,80.0,0.52,10.1,5,13.4,1,0
1508,6.7,390,37.0,125.0,0.39,9.9,7,14.0,0,1
1509,8.3,260,37.0,113.0,0.38,12.3,10,13.8,0,1
1510,4.4,510,26.0,146.0,0.39,10.2,7,15.2,0,1
1511,2.0,390,43.0,188.0,0.41,12.0,8,14.4,0,1
1512,5.5,370,34.0,161.0,0.62,11.5,6,14.8,0,1
1513,5.2,480,38.0,113.0,0.44,10.1,9,13.4,0,1
1514,9.9,580,25.0,115.0,0.46,10.9,7,15.0,0,1
1515,5.0,420,17.0,133.0,0.53,9.4,7,12.2,0,1
1516,2.25,380,8.0,210.0,0.62,9.9,8,12.8,0,1
1517,10.1,560,38.0,187.0,0.56,10.6,7,12.4,0,1
1518,7.35,250,51.0,175.0,0.32,11.4,8,14.6,0,1
1519,2.2,790,19.0,58.0,0.56,10.1,6,20.0,1,0
1520,1.7,780,18.0,30.0,0.54,11.2,6,12.2,1,0
1521,2.8,700,4.0,15.0,0.55,10.3,6,15.2,1,0
1522,1.7,850,17.0,31.0,0.51,10.4,6,15.2,1,0
1523,16.7,460,50.0,184.0,0.56,9.4,7,14.0,0,1
1524,1.8,490,35.0,163.0,0.5,10.3,8,12.6,0,1
1525,5.0,460,48.0,198.0,0.71,10.3,7,11.2,0,1
1526,5.1,510,16.0,119.0,0.41,9.2,7,12.0,0,1
1527,6.8,570,41.0,163.0,0.41,9.9,8,14.6,0,1
1528,0.8,430,20.0,67.0,0.48,9.9,8,11.2,0,1
1529,9.6,520,24.0,90.0,0.49,9.4,8,12.8,0,1
1530,12.8,390,51.0,150.0,0.43,10.7,8,12.8,0,1
1531,4.4,860,6.0,29.0,0.5,9.0,4,14.8,1,0
1532,6.4,480,40.0,251.0,0.52,10.0,7,13.4,0,1
1533,3.4,460,9.0,116.0,0.41,9.4,7,15.2,0,1
1534,12.7,460,60.0,143.0,0.35,10.8,8,12.6,0,1
1535,2.0,840,9.0,22.0,0.68,10.9,6,15.8,1,0
1536,2.0,1010,16.0,72.0,0.57,9.4,5,14.8,1,0
1537,4.9,400,44.0,118.0,0.38,9.5,9,11.6,0,1
1538,1.5,270,37.0,93.0,0.45,10.8,8,13.6,0,1
1539,8.6,440,45.0,104.0,0.37,9.9,8,13.6,0,1
1540,18.3,460,40.0,142.0,0.41,8.7,7,13.6,0,1
1541,1.9,900,16.0,63.0,0.82,9.6,5,16.8,1,0
1542,10.8,330,26.0,120.0,0.49,10.0,8,11.6,0,1
1543,4.6,610,50.5,238.5,0.6,9.5,7,13.6,0,1
1544,2.0,450,24.0,131.0,0.59,10.5,8,13.4,0,1
1545,3.4,400,41.0,143.0,0.39,10.2,8,17.2,0,1
1546,2.0,520,18.0,141.0,0.53,10.5,8,12.8,0,1
1547,2.3,1120,11.0,38.0,0.56,10.9,5,18.4,1,0
1548,1.5,470,40.0,117.0,0.72,11.1,8,13.6,0,1
1549,18.15,420,41.0,146.0,0.36,8.7,7,13.6,0,1
1550,5.8,250,26.0,74.0,0.53,11.0,8,13.4,0,1
1551,11.8,510,26.0,126.0,0.48,9.1,7,13.8,0,1
1552,1.9,740,8.0,19.0,0.95,10.5,6,16.0,1,0
1553,8.6,480,47.0,206.0,0.36,9.1,7,14.8,0,1
1554,10.4,500,76.0,192.0,0.42,8.7,7,14.4,0,1
1555,4.2,400,37.0,117.0,0.43,11.3,8,12.6,0,1
1556,1.8,890,10.0,52.0,0.77,9.5,5,16.6,1,0
1557,10.7,560,66.0,171.0,0.61,10.4,9,11.2,0,1
1558,16.3,380,43.0,133.0,0.41,8.8,7,13.0,0,1
1559,1.2,290,25.0,93.0,0.4,13.6,9,10.6,0,1
1560,2.7,970,29.0,65.0,0.58,9.6,5,18.4,1,0
1561,1.4,630,11.0,18.0,0.56,12.2,6,11.4,1,0
1563,2.3,330,28.0,111.0,0.49,12.4,8,12.2,0,1
1564,1.9,240,64.0,106.0,0.6,12.6,10,13.6,0,1
1565,2.8,920,14.0,45.0,0.73,10.0,6,18.8,1,0
1566,9.3,310,35.0,137.0,0.36,10.4,8,13.6,0,1
1567,1.9,360,27.0,119.0,0.49,11.2,8,14.8,0,1
1568,2.8,480,53.0,173.0,0.45,9.8,7,12.6,0,1
1569,2.2,900,13.0,62.0,0.63,10.5,6,18.8,1,0
1570,13.6,520,38.0,118.0,0.5,10.0,8,15.6,0,1
1571,1.5,360,38.0,124.0,0.42,12.4,9,12.2,0,1
1572,1.4,760,8.0,23.0,0.7,9.6,6,16.6,1,0
1573,2.0,310,27.0,139.0,0.48,12.5,11,14.8,0,1
1574,1.5,290,37.0,81.0,0.46,12.2,8,11.8,0,1
1575,7.1,490,8.0,178.0,0.38,9.4,6,13.4,0,1
1576,2.85,940,35.0,106.0,0.53,9.2,5,17.8,1,0
1577,10.8,500,58.0,116.0,0.5,9.8,8,11.4,0,1
1578,2.2,650,28.0,52.0,0.52,11.6,5,12.8,1,0
1579,2.0,910,6.0,16.0,0.7,9.7,5,18.6,1,0
1580,7.4,690,28.0,160.0,0.46,9.8,8,14.0,0,1
1581,1.9,860,14.0,57.0,0.46,10.3,5,15.2,1,0
1582,1.0,320,27.0,96.0,0.44,12.3,8,12.0,0,1
1583,3.0,770,7.0,27.0,0.91,9.4,6,13.8,1,0
1584,2.6,590,5.0,13.0,0.74,10.5,7,20.4,1,0
1585,4.5,300,30.0,102.0,0.36,9.4,8,11.0,0,1
1586,2.8,670,8.0,44.0,0.56,12.0,6,13.0,1,0
1587,14.45,740,29.0,107.0,0.42,9.2,8,14.2,0,1
1588,10.8,510,77.0,194.0,0.46,8.7,7,14.8,0,1
1589,15.3,440,39.0,194.0,0.47,9.6,9,15.4,0,1
1590,1.6,520,24.0,126.0,0.49,10.8,7,14.4,0,1
1591,9.2,580,66.0,243.0,0.54,9.1,8,13.2,0,1
1592,14.55,470,47.0,156.0,0.78,9.1,8,14.2,0,1
1593,1.9,1460,27.0,90.0,0.7,9.4,5,18.0,1,0
1594,8.4,510,40.0,167.0,0.62,9.7,7,14.4,0,1
1595,3.0,1040,10.0,22.0,0.68,10.6,5,16.4,1,0
1596,1.4,360,14.0,55.0,0.68,11.5,9,13.8,0,1
1597,2.8,340,22.0,112.0,0.38,12.6,10,14.0,0,1
1598,8.3,450,38.0,126.0,0.34,9.2,7,14.0,0,1
1599,2.1,330,34.0,111.0,0.48,12.2,9,13.4,0,1
1600,1.8,500,27.0,63.0,0.79,14.0,6,10.4,1,0
1601,1.8,1150,20.0,112.0,0.71,9.3,5,15.4,1,0
1602,6.0,360,30.0,111.0,0.58,10.13333333,9,12.0,0,1
1603,1.6,210,24.0,85.0,0.61,12.4,11,13.2,0,1
1604,9.9,410,63.0,192.0,0.49,10.2,8,14.2,0,1
1606,2.6,430,34.0,90.0,0.47,11.2,8,14.0,0,1
1607,1.9,170,31.0,69.0,0.36,12.5,8,14.8,0,1
1608,9.8,400,28.0,191.0,0.61,9.2,7,13.8,0,1
1609,1.5,670,17.0,100.0,0.57,10.1,8,17.4,0,1
1610,5.4,510,25.0,149.0,0.35,10.0,7,13.0,0,1
1611,1.2,410,27.0,99.0,0.33,9.8,8,14.8,0,1
1612,15.4,500,38.0,174.0,0.42,9.0,8,14.6,0,1
1613,2.7,1220,4.0,17.0,0.7,10.2,5,22.8,1,0
1614,7.8,520,54.0,214.0,0.47,8.9,7,13.6,0,1
1615,14.55,470,47.0,156.0,0.78,9.1,8,14.2,0,1
